CountryID,Country,Occurrence,Total deaths,Persons affected,Continent,Type of disaster,Decade
434,Libya,1,0,0,Africa,Hydrological,1990-1999
440,Lithuania,,,,Europe,Hydrological,1990-1999
442,Luxembourg,1,0,0,Europe,Hydrological,1990-1999
450,Madagascar,1,0,20000,Africa,Hydrological,1990-1999
454,Malawi,6,477,568300,Africa,Hydrological,1990-1999
458,Malaysia,6,101,30203,Asia,Hydrological,1990-1999
462,Maldives,,,,Asia,Hydrological,1990-1999
466,Mali,3,5,8634,Africa,Hydrological,1990-1999
584,Marshall Islands,,,,Oceania,Hydrological,1990-1999
478,Mauritania,3,0,24400,Africa,Hydrological,1990-1999
480,Mauritius,,,,Africa,Hydrological,1990-1999
484,Mexico,14,1243,980670,North America,Hydrological,1990-1999
583,Micronesia,,,,Oceania,Hydrological,1990-1999
498,Moldova,3,56,28957,Europe,Hydrological,1990-1999
496,Mongolia,2,46,0,Asia,Hydrological,1990-1999
499,Montenegro,,,,Europe,Hydrological,1990-1999
504,Morocco,5,876,98000,Africa,Hydrological,1990-1999
508,Mozambique,3,145,472500,Africa,Hydrological,1990-1999
104,Myanmar,5,169,583964,Asia,Hydrological,1990-1999
516,Namibia,,,,Africa,Hydrological,1990-1999
524,Nepal,13,2765,810434,Asia,Hydrological,1990-1999
528,Netherlands,3,1,15000,Europe,Hydrological,1990-1999
554,New Zealand,7,0,1155,Oceania,Hydrological,1990-1999
558,Nicaragua,2,15,213516,North America,Hydrological,1990-1999
562,Niger,4,74,106387,Africa,Hydrological,1990-1999
566,Nigeria,6,134,804000,Africa,Hydrological,1990-1999
408,North Korea,6,276,9551307,Asia,Hydrological,1990-1999
807,North Macedonia,1,0,1500,Europe,Hydrological,1990-1999
578,Norway,1,1,4000,Europe,Hydrological,1990-1999
512,Oman,,,,Asia,Hydrological,1990-1999
586,Pakistan,20,4375,18152120,Asia,Hydrological,1990-1999
275,Palestine,,,,Asia,Hydrological,1990-1999
591,Panama,4,14,21456,North America,Hydrological,1990-1999
598,Papua New Guinea,5,240,187008,Oceania,Hydrological,1990-1999
600,Paraguay,6,55,430575,South America,Hydrological,1990-1999
604,Peru,15,738,877737,South America,Hydrological,1990-1999
608,Philippines,37,1291,5436155,Asia,Hydrological,1990-1999
616,Poland,2,64,225700,Europe,Hydrological,1990-1999
